code	ds_type	max_v	min_v	name	node	node_idx	price	sub_division	idx	node_id	OUID	GasSort	SalesClientID	SupplyCategoryID	ClientStationID	ProvinceID	SalesType	ImportGasSourceType	TradeProp	GasDomestic
3779319650093891585	demand	0.0	0.0	A00000186	A00000185	3779318280653635584	18715.6	0	115	571	XSNF0004	10003		CS000001	ZDGN0285	PROV0025	2.0	null	null	null
3779319651901636608	demand	0.0	0.0	A00000187	A00000188	3779318280657829888	18715.6	0	116	572	XSNF0004	10003		CS000001	ZDGN0286	PROV0025	2.0	null	null	null
3779319653424168960	demand	175.4287	175.4287	A00000189	A00000190	3779318280666218496	18715.6	0	117	573	XSNF0004	10001		CS000001	ZDGN0287	PROV0025	2.0	null	null	null
3779319656091746304	demand	0.0	0.0	A00000191	A00000192	3779318280607498240	17155.96	0	118	564	XSNF0008	10001		CS000001	ZDGN0184	PROV0029	2.0	null	null	null
3779319657668804608	demand	3.614501	3.614501	A00000193	A00000194	3779318280511029248	17155.96	0	119	549	XSNF0008	10001		CS000001	ZDGN0185	PROV0029	2.0	null	null	null
3779319659413635072	demand	1.74013	1.74013	A00000195	A00000196	3779318280620081152	17155.96	0	120	566	XSNF0008	10001		CS000001	ZDGN0186	PROV0029	2.0	null	null	null
3779319660885835776	demand	17.03105	17.03105	A00000197	A00000198	3779318280624275456	17155.96	0	121	567	XSNF0008	10001		CS000001	ZDGN0187	PROV0029	2.0	null	null	null
3779319663016542208	demand	0.0	0.0	A00000199	A00000200	3779318280523612160	17155.96	0	122	551	XSNF0008	10007		CS000001	ZDGN0188	PROV0029	2.0	null	null	null
3779319663016542209	demand	63.48792	63.48792	A00000201	A00000200	3779318280523612160	17155.96	0	123	551	XSNF0008	10001		CS000001	ZDGN0188	PROV0029	2.0	null	null	null
3779319664576823296	demand	0.0	0.0	A00000202	A00000203	3779318280557166592	17155.96	0	124	556	XSNF0008	10001		CS000001	ZDGN0189	PROV0029	2.0	null	null	null
3779319666338430976	demand	15.95522	15.95522	A00000204	A00000205	3779318280565555200	17155.96	0	125	557	XSNF0008	10001		CS000001	ZDGN0190	PROV0029	2.0	null	null	null
3779319668645298176	demand	0.0	0.0	A00000206	A00000207	3779318280569749504	17155.96	0	126	558	XSNF0008	10001		CS000001	ZDGN0191	PROV0029	2.0	null	null	null
3779319670406905856	demand	0.0	0.0	A00000206	A00000208	3779318280498446336	17155.96	0	127	547	XSNF0008	10001		CS000001	ZDGN0433	PROV0029	2.0	null	null	null
3779319673024151552	demand	0.0	0.0	A00000209	A00000210	3779318280594915328	17155.96	0	128	562	XSNF0008	10001		CS000001	ZDGN0434	PROV0029	2.0	null	null	null
3779319674760593408	demand	4.092335	4.092335	A00000211	A00000212	3779318280536195072	17155.96	0	129	553	XSNF0008	10001		CS000001	ZDGN0442	PROV0029	2.0	null	null	null
3779319678300585984	demand	0.480745	0.480745	A00000213	A00000214	3779318280485863424	17155.96	0	130	545	XSNF0008	10007		CS000001	ZDGN0461	PROV0029	2.0	null	null	null
3779319680263520256	demand	0.0	0.0	A00000215	A00000216	3779318280506834944	17155.96	0	131	548	XSNF0008	10001		CS000001	ZDGN0462	PROV0029	2.0	null	null	null
3779319683128229888	demand	1.089368	1.089368	A00000217	A00000218	3779318280615886848	17155.96	0	132	565	XSNF0008	10001		CS000001	ZDGN0568	PROV0029	2.0	null	null	null
3779319685615452160	demand	6.557085	6.557085	A00000219	A00000220	3779318280519417856	17155.96	0	133	550	XSNF0008	10001		CS000001	ZDGN0569	PROV0029	2.0	null	null	null
